name,mean control kernel size,number of attractors,size,number of core nodes,number of isolated fixed points
random_50_N20_k2_p0.75_seed6150,0.0,1,20,14.0,0.0
random_38_N20_k2_p0.25_seed4674,1.0,2,20,15.0,0.0
random_50_tpNone_seed6150,15.577444682369736,16812,20,20.0,256.0
random_3_tpNone_seed369,7.984848484848484,132,10,10.0,24.0
random_19_tpNone_seed2337,5.5,22,10,10.0,1.0
random_12_tpNone_seed1476,5.648648648648648,37,10,10.0,3.0
random_64_tpNone_seed7872,12.73323720259553,1387,20,20.0,11.0
random_59_tp0.5_seed7257,3.5,16,20,20.0,0.0
random_49_tpNone_seed6027,6.7368421052631575,57,15,15.0,1.0
random_31_tpNone_seed3813,7.795454545454546,88,15,15.0,4.0
random_23_tp0.5_seed2829,3.5,8,10,10.0,2.0
random_53_tp0.5_seed6519,13.655083655083654,6216,20,20.0,0.0
random_27_tpNone_seed3321,10.794079794079794,777,15,15.0,36.0
random_0_tp0.5_seed0,6.0,64,10,10.0,0.0
random_38_tpNone_seed4674,8.804878048780488,164,15,15.0,8.0
random_62_tp0.5_seed7626,6.666666666666667,21,20,20.0,0.0
random_15_tpNone_seed1845,4.166666666666667,6,10,10.0,1.0
random_46_tp0.5_seed5658,5.111111111111111,20,15,15.0,4.0
random_26_tp0.5_seed3198,9.523809523809524,672,15,15.0,0.0
random_16_tp0.5_seed1968,0.0,1,10,10.0,0.0
random_64_tp0.5_seed7872,4.0,8,20,20.0,0.0
random_63_tp0.5_seed7749,8.80281690140845,150,20,20.0,0.0
random_36_tpNone_seed4428,5.4375,16,15,15.0,1.0
random_5_tp0.5_seed615,3.6666666666666665,12,10,10.0,0.0
random_6_tp0.5_seed738,5.791666666666667,48,10,10.0,8.0
random_51_tp0.5_seed6273,8.291666666666666,192,20,20.0,0.0
random_44_tpNone_seed5412,7.993589743589744,156,15,15.0,11.0
random_52_tpNone_seed6396,14.107046070460704,7380,20,20.0,160.0
random_42_tpNone_seed5166,8.784615384615385,65,15,15.0,3.0
random_24_tpNone_seed2952,4.857142857142857,14,10,10.0,2.0
random_68_tpNone_seed8364,10.46808510638298,329,20,20.0,1.0
random_66_tp0.5_seed8118,5.3125,38,20,20.0,0.0
random_43_tpNone_seed5289,7.955555555555556,90,15,15.0,5.0
random_11_tp0.5_seed1353,4.7,22,10,10.0,6.0
random_9_tpNone_seed1107,7.009433962264151,106,10,10.0,20.0
random_17_tpNone_seed2091,5.75,20,10,10.0,3.0
random_50_tp0.5_seed6150,11.583333333333334,2304,20,20.0,0.0
random_62_tpNone_seed7626,10.303571428571429,224,20,20.0,40.0
random_56_tpNone_seed6888,8.352941176470589,170,20,20.0,6.0
random_33_tpNone_seed4059,11.521212121212121,660,15,15.0,44.0
random_56_tp0.5_seed6888,9.224066390041493,522,20,20.0,0.0
random_60_tpNone_seed7380,6.142857142857143,14,20,20.0,2.0
random_20_tpNone_seed2460,5.5,2,10,10.0,1.0
random_14_tp0.5_seed1722,4.6,24,10,10.0,2.0
random_16_tpNone_seed1968,5.25,4,10,10.0,2.0
random_22_tp0.5_seed2706,1.0,5,10,10.0,0.0
random_9_tp0.5_seed1107,5.166666666666667,24,10,10.0,0.0
random_65_tp0.5_seed7995,8.192982456140351,126,20,20.0,0.0
random_30_tpNone_seed3690,12.15,20,15,15.0,16.0
random_28_tpNone_seed3444,11.837606837606838,2808,15,15.0,280.0
random_24_tp0.5_seed2952,3.3333333333333335,10,10,10.0,2.0
random_25_tp0.5_seed3075,10.575757575757576,1056,15,15.0,0.0
random_13_tpNone_seed1599,6.138888888888889,36,10,10.0,3.0
